school_year,issue_type,school_code,school_name,details,recommended_action
2012-13,legacy_band_split_estimate,18423,Pinecrest,"Legacy total enrollment 764 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_band_split_estimate,18424,Honors Acad,"Legacy total enrollment 122 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_single_band_direct,18401,Nevada State HS,Legacy total enrollment 226 paired to published legacy band rating rows for HS using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_single_band_direct,18409,Beacon Academy HS,Legacy total enrollment 732 paired to published legacy band rating rows for HS using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_single_band_direct,18412,Alpine Charter HS,Legacy total enrollment 120 paired to published legacy band rating rows for HS using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2012-13,legacy_single_band_direct,18418,Imagine MTN View,Legacy total enrollment 333 paired to published legacy band rating rows for ES using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18400,Silver State,"Legacy total enrollment 428 paired to published legacy band rating rows for HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18404,Nevada Virtual Ac,"Legacy total enrollment 3,669 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18405,NV Connections Ac,"Legacy total enrollment 1,987 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18407,Coral Acad of Sci,"Legacy total enrollment 1,379 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18408,Quest Acad,"Legacy total enrollment 863 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18410,Elko Institute,"Legacy total enrollment 163 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18411,Silver Sands,"Legacy total enrollment 286 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18414,Oasis Acad,"Legacy total enrollment 181 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18417,Discovery Sch,"Legacy total enrollment 367 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18419,Somerset Acad,"Legacy total enrollment 3,012 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18423,Pinecrest,"Legacy total enrollment 885 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18424,Honors Acad,"Legacy total enrollment 193 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18426,Doral CS,"Legacy total enrollment 752 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_band_split_estimate,18428,Learning Bridge,"Legacy total enrollment 118 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_single_band_direct,18401,Nevada State HS,Legacy total enrollment 279 paired to published legacy band rating rows for HS using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_single_band_direct,18409,Beacon Academy HS,Legacy total enrollment 811 paired to published legacy band rating rows for HS using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_single_band_direct,18412,Alpine Charter HS,Legacy total enrollment 80 paired to published legacy band rating rows for HS using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2013-14,legacy_single_band_direct,18418,Imagine MTN View,Legacy total enrollment 475 paired to published legacy band rating rows for ES using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18400,Silver State,"Legacy total enrollment 412 paired to published legacy band rating rows for HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18404,Nevada Virtual Ac,"Legacy total enrollment 2,632 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18405,NV Connections Ac,"Legacy total enrollment 2,624 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18407,Coral Acad of Sci,"Legacy total enrollment 1,488 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18408,Quest Acad,"Legacy total enrollment 1,460 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18410,Elko Institute,"Legacy total enrollment 182 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18411,Silver Sands,"Legacy total enrollment 284 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18414,Oasis Acad,"Legacy total enrollment 358 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18417,Discovery Sch,"Legacy total enrollment 429 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18419,Somerset Acad,"Legacy total enrollment 4,523 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18423,Pinecrest,"Legacy total enrollment 937 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18424,Honors Acad,"Legacy total enrollment 187 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18426,Doral CS,"Legacy total enrollment 1,655 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18428,Learning Bridge,"Legacy total enrollment 151 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18429,Leadership,"Legacy total enrollment 217 paired to published legacy band rating rows for HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18430,Founders,"Legacy total enrollment 433 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18431,American Prep,"Legacy total enrollment 410 paired to published legacy band rating rows for ES, HS, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_band_split_estimate,18432,Mater,"Legacy total enrollment 286 paired to published legacy band rating rows for ES, MS using estimated_band_split_from_2015-16.",acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_single_band_direct,18401,Nevada State HS,Legacy total enrollment 312 paired to published legacy band rating rows for HS using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_single_band_direct,18409,Beacon Academy HS,Legacy total enrollment 524 paired to published legacy band rating rows for HS using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_single_band_direct,18412,Alpine Charter HS,Legacy total enrollment 109 paired to published legacy band rating rows for HS using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
2014-15,legacy_single_band_direct,18418,Imagine MTN View,Legacy total enrollment 491 paired to published legacy band rating rows for ES using single_band_total_from_legacy_pdf.,acceptable for Phase 1 legacy bridge; replace later if exact grade-by-grade enrollment is recovered
