class_year,school_name,entity_id,authorizer_for_year,model_type,year_universe_bucket,acgr_recovery_bucket,count_in_legacy_sector_totals,notes
2018-19,The Delta Academy J-SHS,02621,Clark County School District,alternative_watchlist,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2018-19 annual ACGR file.
2019-20,The Delta Academy J-SHS,02621,Clark County School District,alternative_watchlist,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 annual ACGR file.
2017-18,Alpine Acad,,State Public Charter School Authority,alternative,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2017-18 SPCSA annual report card.
2018-19,Alpine Acad,,State Public Charter School Authority,alternative,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2019-20,Alpine Acad,,State Public Charter School Authority,alternative,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2017-18,Amplus Durango,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the official 2017-18 annual ACGR file where the school appears under the American Preparatory Academy name.
2018-19,Amplus Durango,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2019-20,Amplus Durango,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2017-18,Argent Preparatory Academy,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2017-18 SPCSA annual report card and should be crosswalked carefully to the Silver State history.
2017-18,Beacon Acad,,State Public Charter School Authority,alternative,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2017-18 SPCSA annual report card.
2018-19,Beacon Acad,,State Public Charter School Authority,alternative,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2019-20,Beacon Acad,,State Public Charter School Authority,alternative,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2017-18,CASLV Sandy Ridge,87312,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the official 2017-18 annual ACGR file as Coral Academy of Science Las Vegas Sandy Ridge.
2018-19,CASLV Sandy Ridge,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2019-20,CASLV Sandy Ridge,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2017-18,Doral Red Rock,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_no_grade12_yet,no_grade12_enrollment_confirmed,no,The 2017-2018 enrollment workbook shows grades 1 through 11 only, so this campus did not yet belong in the 2017-18 four-year graduation universe.
2018-19,Doral Red Rock,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_no_grade12_yet,no_grade12_enrollment_confirmed,no,The 2018-2019 enrollment workbook shows grades 1 through 11 only, so this campus did not yet belong in the 2018-19 four-year graduation universe.
2019-20,Doral Red Rock,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2018-19,Founders Acad,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2019-20,Founders Acad,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2017-18,Nevada Connections Acad,,State Public Charter School Authority,statewide_online,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2017-18 SPCSA annual report card.
2018-19,Nevada Connections Acad,,State Public Charter School Authority,statewide_online,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2019-20,Nevada Connections Acad,,State Public Charter School Authority,statewide_online,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2017-18,Nevada Virtual Charter,,State Public Charter School Authority,statewide_online,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2017-18 SPCSA annual report card.
2018-19,Nevada Virtual Charter,,State Public Charter School Authority,statewide_online,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2019-20,Nevada Virtual Charter,,State Public Charter School Authority,statewide_online,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2017-18,Oasis Acad,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2017-18 SPCSA annual report card.
2018-19,Oasis Acad,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2019-20,Oasis Acad,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2018-19,Pinecrest Cadence,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_no_grade12_yet,no_grade12_enrollment_confirmed,no,The 2018-2019 enrollment workbook shows grades 1 through 11 only, so this campus did not yet belong in the 2018-19 four-year graduation universe.
2019-20,Pinecrest Cadence,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2018-19,Somerset Losee,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2019-20,Somerset Losee,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck.
2017-18,Democracy Prep,46300,Achievement School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the official 2017-18 annual ACGR file as Democracy Prep at Agassi High under the Achievement School District.
2018-19,Democracy Prep,46300,Achievement School District,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the official 2018-19 annual ACGR file as Democracy Prep at Agassi High under the Achievement School District.
2018-19,Democracy Prep at Agassi High,,Achievement School District,brick_and_mortar,in_universe_transition_watchlist,no_usable_published_school_total,hold,ASD treated schools as their own LEAs, so legacy tables may show the school name in both LEA and campus positions; do not double count.
2019-20,Democracy Prep at Agassi High,,Achievement School District,brick_and_mortar,transition_crosswalk_pending,possible_duplicate_with_successor_row,no,Hold out of totals as a separate row until the ASD to SPCSA successor mapping is locked down.
2019-20,Democracy Prep,,State Public Charter School Authority,brick_and_mortar,confirmed_charter_high_school,school_level_acgr_recovered,yes,Verified in the 2019-20 SPCSA graduation deck and treated as the post-transition SPCSA successor row unless contrary evidence emerges.
2017-18,NV Learning Academy J-SHS,,Clark County School District,virtual_district_option,excluded_not_charter,not_applicable_excluded,no,Explicitly excluded because it is a district-operated option school rather than a charter.
2018-19,NV Learning Academy J-SHS,,Clark County School District,virtual_district_option,excluded_not_charter,not_applicable_excluded,no,Explicitly excluded because it is a district-operated option school rather than a charter.
2019-20,NV Learning Academy J-SHS,,Clark County School District,virtual_district_option,excluded_not_charter,not_applicable_excluded,no,Explicitly excluded because it is a district-operated option school rather than a charter.
2017-18,North Star Online School,,Washoe County School District,virtual_district_option,excluded_not_charter,not_applicable_excluded,no,Explicitly excluded because it is a district-operated option school rather than a charter.
2018-19,North Star Online School,,Washoe County School District,virtual_district_option,excluded_not_charter,not_applicable_excluded,no,Explicitly excluded because it is a district-operated option school rather than a charter.
2019-20,North Star Online School,,Washoe County School District,virtual_district_option,excluded_not_charter,not_applicable_excluded,no,Explicitly excluded because it is a district-operated option school rather than a charter.
